track_name,artist_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,time_signature
drunk,keshi,chill r&b,0.691,0.389,4.0,-8.247,1.0,0.0367,0.765,0.0941,0.306,104.952,227032.0,4.0
dumb dumb - sped up,mazie,modern indie pop,0.71,0.596,9.0,-6.655,0.0,0.0575,0.132,0.212,0.721,148.869,102664.0,9.0
dwrcan,Bibio,ambient folk,0.565,0.738,0.0,-5.293,1.0,0.26,0.192,0.0939,0.364,91.656,355227.0,0.0
dying together,Josh Golden,la pop,0.794,0.528,11.0,-6.983,0.0,0.0403,0.697,0.22,0.581,95.072,156217.0,11.0
e.z. (feat. Machine Gun Kelly),blackbear,pop,0.793,0.531,9.0,-8.501,0.0,0.127,0.0356,0.0905,0.337,129.951,252171.0,9.0
edamame (feat. Rich Brian),bbno$,canadian hip hop,0.815,0.848,4.0,-4.704,0.0,0.115,0.023,0.0265,0.684,106.032,133707.0,4.0
endlessly,bixby,bedroom r&b,0.614,0.816,11.0,-5.889,0.0,0.036,0.371,0.106,0.602,144.961,125793.0,11.0
erase me,Lizzy McAlpine,alt z,0.415,0.45,6.0,-8.529,0.0,0.0599,0.578,0.155,0.305,93.17,214468.0,6.0
erase me (feat. Jacob Collier),Lizzy McAlpine,alt z,0.415,0.45,6.0,-8.529,0.0,0.0599,0.578,0.155,0.305,93.17,214468.0,6.0
everything,John K,singer-songwriter pop,0.449,0.612,1.0,-7.534,1.0,0.179,0.379,0.0795,0.296,188.73,172792.0,1.0
everything sucks,vaultboy,singer-songwriter pop,0.76,0.371,6.0,-8.964,1.0,0.0531,0.00772,0.0785,0.653,138.023,115402.0,6.0
ex i never had,LANY,la pop,0.65,0.388,10.0,-7.065,1.0,0.0332,0.306,0.114,0.628,96.001,201442.0,10.0
fall apart (with glaive),renforshort,alt z,0.57,0.746,10.0,-6.464,1.0,0.104,0.144,0.0706,0.27,158.061,156225.0,10.0
falling again,middt,lo-fi brasileiro,0.666,0.115,4.0,-15.478,1.0,0.0333,0.966,0.0987,0.11,61.994,108673.0,4.0
feel like shit,Tate McRae,alt z,0.519,0.383,7.0,-7.174,1.0,0.0495,0.572,0.124,0.157,144.565,203480.0,7.0
feel something,Bea Miller,alt z,0.74,0.415,0.0,-8.914,1.0,0.0707,0.242,0.319,0.156,136.029,180161.0,0.0
fine,Mike Shinoda,alternative hip hop,0.55,0.685,8.0,-3.28,1.0,0.0353,0.0261,0.251,0.168,89.977,214343.0,8.0
first order of business,Baby Keem,hip hop,0.963,0.309,6.0,-8.456,0.0,0.315,0.0605,0.108,0.579,132.04,168759.0,6.0
fleabag,YUNGBLUD,british indie rock,0.236,0.918,2.0,-4.503,1.0,0.0998,0.000104,0.294,0.312,98.46,176988.0,2.0
flowers & sex,EMELINE,alt z,0.548,0.363,5.0,-7.766,1.0,0.433,0.047,0.066,0.484,170.407,148588.0,5.0
fools (can't help falling in love) (feat. Sody),Foster,sad lo-fi,0.706,0.604,2.0,-6.932,1.0,0.303,0.418,0.242,0.361,82.03,165029.0,2.0
fools (can't help falling in love) (slowed down & reverb),Foster,sad lo-fi,0.591,0.805,0.0,-5.235,1.0,0.271,0.64,0.143,0.283,136.629,197857.0,0.0
for B.,Linearwave,anime lo-fi,0.689,0.0204,10.0,-28.613,1.0,0.0377,0.986,0.297,0.356,117.975,89492.0,10.0
fragment,sadeyes,emo rap,0.607,0.497,4.0,-12.053,0.0,0.209,0.828,0.105,0.517,147.965,134886.0,4.0
"fuck, i'm lonely",Lauv,pop,0.809,0.547,9.0,-7.305,1.0,0.0614,0.452,0.054,0.718,94.992,198973.0,9.0
g2g ttyl (feat. THEY.),blackbear,pop,0.63,0.382,3.0,-5.535,0.0,0.0558,0.471,0.176,0.555,97.706,181771.0,3.0
game over,Rnla,lo-fi chill,0.746,0.376,9.0,-10.818,0.0,0.106,0.94,0.0861,0.112,120.132,158016.0,9.0
gentle snow,kairos,lo-fi sleep,0.566,0.212,6.0,-19.451,1.0,0.0505,0.947,0.155,0.188,130.02,181000.0,6.0
gfy (with Machine Gun Kelly),blackbear,pop,0.744,0.732,8.0,-3.036,1.0,0.0522,0.0264,0.352,0.387,121.086,174067.0,8.0
ghost me,Camylio,gen z singer-songwriter,0.723,0.509,0.0,-12.309,1.0,0.0663,0.0577,0.0809,0.482,122.031,202698.0,0.0
ghost town (ft. Sasha Alex Sloan),blackbear,pop,0.71,0.778,4.0,-5.336,0.0,0.0317,0.0466,0.0763,0.382,101.024,187802.0,4.0
girls girls girls,FLETCHER,alt z,0.649,0.478,0.0,-8.834,1.0,0.156,0.658,0.131,0.468,139.859,161247.0,0.0
glass half empty,dempsey hope,modern indie pop,0.468,0.275,9.0,-13.311,1.0,0.145,0.753,0.0943,0.379,142.875,136296.0,9.0
gold,EDEN,indie poptimism,0.7,0.454,8.0,-9.574,1.0,0.172,0.612,0.379,0.583,97.032,196701.0,8.0
golden hour,JVKE,modern indie pop,0.515,0.593,4.0,-4.801,1.0,0.0322,0.653,0.25,0.153,94.467,209260.0,4.0
golden years,Christian French,alt z,0.626,0.573,1.0,-7.825,1.0,0.115,0.41,0.219,0.68,149.993,169745.0,1.0
good 4 u,Olivia Rodrigo,pop,0.563,0.664,9.0,-5.044,1.0,0.154,0.335,0.0849,0.688,166.928,178147.0,9.0
goosebumps,Arem Ozguc,turkish edm,0.81,0.97,1.0,-3.586,0.0,0.141,0.00127,0.331,0.739,124.937,144000.0,1.0
hair tie,ØZI,mandopop,0.818,0.491,8.0,-7.567,1.0,0.108,0.0874,0.0881,0.824,121.955,174693.0,8.0
half alive,blackbear,pop,0.704,0.785,8.0,-3.588,1.0,0.0381,0.0204,0.153,0.765,125.077,195110.0,8.0
happiness,John K,singer-songwriter pop,0.798,0.722,11.0,-4.037,1.0,0.0494,0.099,0.242,0.69,123.019,196007.0,11.0
happiness,Taylor Swift,pop,0.559,0.334,11.0,-10.733,1.0,0.0376,0.87,0.114,0.211,122.079,315147.0,11.0
happy for you,Jasmine Thompson,viral pop,0.462,0.338,3.0,-8.788,1.0,0.045,0.824,0.129,0.416,139.845,165990.0,3.0
happysad,Josh Golden,la pop,0.73,0.4,8.0,-7.062,1.0,0.0613,0.0346,0.256,0.487,83.509,174038.0,8.0
haven,steezy prime,lo-fi study,0.629,0.171,2.0,-17.328,1.0,0.0556,0.885,0.101,0.264,88.011,152727.0,2.0
"he's not your boyfriend, he's your boy friend",remy,modern indie pop,0.733,0.605,6.0,-7.961,1.0,0.0606,0.274,0.0892,0.737,160.004,175500.0,6.0
head first,Christian French,alt z,0.909,0.392,6.0,-6.221,0.0,0.0652,0.278,0.106,0.61,127.052,154961.0,6.0
heaven come,Josh Golden,la pop,0.8,0.54,5.0,-7.539,1.0,0.0417,0.181,0.115,0.502,119.983,176228.0,5.0
"hey, what's up",Munn,singer-songwriter pop,0.681,0.396,9.0,-9.446,0.0,0.0615,0.331,0.168,0.191,121.964,179016.0,9.0
hornylovesickmess,girl in red,alt z,0.543,0.465,8.0,-8.914,1.0,0.0554,0.337,0.142,0.158,143.121,175695.0,8.0
hot girl bummer,blackbear,pop,0.782,0.559,6.0,-7.106,0.0,0.0767,0.125,0.385,0.685,129.992,188344.0,6.0
hotel andrea,blackbear,pop,0.359,0.361,3.0,-10.194,0.0,0.0552,0.365,0.111,0.28,85.898,227397.0,3.0
how to live,yaeow,lo-fi chill,0.611,0.311,0.0,-12.199,1.0,0.0382,0.904,0.111,0.194,100.092,146400.0,0.0
howling,mehro,gen z singer-songwriter,0.496,0.335,4.0,-11.137,1.0,0.0347,0.891,0.113,0.207,75.96,213720.0,4.0
hurt people,Josh Golden,la pop,0.794,0.596,1.0,-5.82,0.0,0.126,0.434,0.179,0.33,91.973,163859.0,1.0
hurts 2 hate somebody (with Chase Atlantic & No Rome),ELIO,alt z,0.623,0.683,7.0,-3.512,1.0,0.0437,0.0995,0.372,0.747,90.021,186665.0,7.0
i can't breathe,Bea Miller,alt z,0.347,0.209,11.0,-11.152,1.0,0.0273,0.893,0.138,0.0735,82.878,213987.0,11.0
i can't help it,JVKE,modern indie pop,0.459,0.639,1.0,-4.152,1.0,0.0638,0.236,0.248,0.344,155.935,177887.0,1.0
i don't care - bonus track,young friend,modern indie pop,0.724,0.225,4.0,-14.13,0.0,0.0461,0.768,0.111,0.698,169.913,160941.0,4.0
i don't feel part of the world anymore,itssvd,lo-fi chill,0.546,0.179,1.0,-19.623,0.0,0.23,0.611,0.107,0.272,95.037,84177.0,1.0
